age,income,account_balance,visits_last_month,avg_session_minutes,purchased,gender_Male,gender_Other,product_type_Plus,product_type_Premium
76.0,41122.73,22392.02,1.0,13.62,0,False,False,False,True
56.0,85886.3,24389.82,3.0,12.54,1,True,False,False,False
60.0,66175.29,24093.1,3.0,12.89,1,True,False,False,False
73.0,74328.5,26118.14,4.0,22.87,1,True,False,True,False
53.0,90034.21,13834.54,3.0,19.95,1,False,False,False,True
66.0,35337.35,13606.94,2.0,7.81,1,True,False,False,True
69.0,54317.4,21600.41,2.0,8.2,0,True,False,True,False
31.0,73506.7,4067.81,3.0,22.41,1,True,False,False,False
21.0,77841.9,16675.43,2.0,10.22,1,False,False,True,False
36.0,62458.51,10755.53,3.0,20.39,0,False,False,True,False
35.0,90583.58,12049.69,4.0,21.71,1,False,True,False,True
72.0,74207.9,1067.88,2.0,8.87,1,True,False,False,True
74.0,45732.36,7875.65,3.0,10.5,0,True,False,True,False
18.0,51384.72,14836.05,2.0,12.62,1,False,False,False,True
48.0,86109.42,22107.63,2.0,6.94,0,False,False,True,False
68.0,79276.63,22920.21,6.0,6.25,1,True,False,False,True
26.0,32018.78,14357.39,3.0,9.71,0,False,False,True,False
67.0,96954.25,13485.69,0.0,17.24,1,False,False,False,False
25.0,81960.54,8354.57,2.0,9.43,0,False,False,True,False
47.0,96866.86,18218.85,3.0,10.88,0,False,False,True,False
68.0,62325.98,13019.38,5.0,9.33,0,True,False,False,False
36.0,64085.88,19847.08,1.0,3.93,0,False,False,False,False
39.0,47470.86,29013.49,7.0,21.03,0,True,False,False,False
35.0,120738.59,14741.0,3.0,0.5,1,True,False,True,False
62.0,66490.92,3021.16,0.0,8.2,1,True,False,False,False
33.0,101750.66,8113.2,1.0,15.47,0,True,False,False,False
79.0,57054.15,3334.82,4.0,3.74,1,False,False,False,True
45.0,73276.82,5423.12,4.0,15.75,0,False,False,False,True
47.0,36572.95,25442.17,2.0,19.63,0,True,False,False,True
49.0,62342.66,16813.28,3.0,6.96,0,False,False,False,True
54.0,89675.1,2838.6,3.0,13.37,1,False,False,True,False
52.0,44965.12,20229.06,6.0,5.46,1,True,False,True,False
49.0,91444.55,25083.0,6.0,15.16,1,False,False,True,False
79.0,76744.76,12121.0,3.0,12.65,1,True,False,True,False
68.0,49120.98,9592.07,4.0,13.41,0,False,False,False,False
67.0,68425.04,12300.98,4.0,20.31,0,False,False,False,False
61.0,60818.69,17276.85,2.0,14.94,0,False,False,True,False
56.0,69009.61,20119.76,6.0,20.19,0,False,False,True,False
39.0,59277.12,24457.73,6.0,15.92,1,False,False,False,True
79.0,53454.24,24699.83,4.0,4.92,0,False,False,False,False
46.0,63908.25,24483.23,1.0,13.68,0,True,False,False,False
31.0,49462.21,25895.37,2.0,15.05,0,True,False,False,False
70.0,44209.47,20291.1,1.0,3.44,0,False,False,False,False
27.0,69036.47,2752.75,1.0,20.12,1,False,False,False,False
71.0,68425.04,13952.29,2.0,12.52,1,False,False,True,False
55.0,39412.57,17511.36,4.0,14.32,1,False,False,False,True
25.0,70070.16,11934.99,3.0,6.74,1,False,False,False,False
20.0,57000.88,22290.09,3.0,12.55,1,False,False,False,False
45.0,50457.09,12118.29,5.0,13.92,0,False,False,True,False
20.0,87068.75,7594.02,2.0,10.16,0,False,False,False,False
26.0,59636.61,26554.39,1.0,12.6,0,False,False,False,False
49.0,99966.03,20328.03,2.0,0.5,1,False,False,False,True
78.0,54403.21,16754.03,4.0,20.29,0,False,False,False,False
46.0,77730.04,22413.67,8.0,5.43,1,False,False,False,False
68.0,65454.34,23500.27,5.0,0.5,1,True,False,True,False
74.0,54919.56,17728.29,2.0,6.35,0,False,False,True,False
69.0,81753.5,0.0,2.0,7.1,0,True,False,False,True
57.0,66900.35,9595.28,2.0,15.38,0,False,False,True,False
45.0,82064.21,11347.37,5.0,6.63,0,False,False,False,False
49.0,69054.17,7126.39,4.0,13.82,0,False,True,False,False
34.0,48283.67,16589.42,2.0,6.35,0,False,False,True,False
48.0,67958.62,24537.62,1.0,25.35,1,False,False,True,False
41.0,71039.1,11120.76,1.0,15.38,0,False,False,False,False
33.0,89169.26,5921.34,3.0,23.85,1,False,False,False,False
79.0,51874.62,31224.28,1.0,6.02,0,False,False,False,False
18.0,69213.4,11388.5,5.0,16.09,0,True,False,False,False
24.0,35562.43,5136.28,5.0,6.37,1,True,False,False,False
29.0,83029.86,16901.42,4.0,15.58,1,False,False,False,False
78.0,48370.34,18405.46,1.0,16.17,0,False,False,True,False
60.0,33872.81,9359.6,3.0,2.54,0,False,False,False,False
72.0,68815.66,21323.63,5.0,5.28,0,False,False,False,True
30.0,92113.7,11101.44,1.0,5.1,1,False,False,True,False
62.0,39511.06,7616.39,2.0,3.08,0,False,False,False,False
40.0,48239.29,16428.73,3.0,7.71,0,False,False,False,True
48.0,55134.5,21166.15,7.0,6.34,1,False,False,True,False
18.0,47410.07,9929.19,2.0,3.42,0,True,False,False,True
56.0,77588.56,17645.0,1.0,12.68,1,False,False,False,False
69.0,53852.65,14252.07,0.0,15.36,0,False,False,False,True
59.0,55569.71,37595.47,7.0,4.2,1,False,False,True,False
27.0,81666.11,9331.52,2.0,8.75,0,True,False,False,False
51.0,54889.71,26073.37,2.0,12.13,0,True,False,False,False
34.0,78655.6,14581.23,2.0,10.69,0,False,False,False,False
77.0,50572.3,13985.9,2.0,7.88,0,True,False,False,False
72.0,45757.23,20773.32,4.0,16.94,0,False,False,False,False
29.0,33291.01,22151.92,3.0,17.16,0,True,False,False,False
49.0,107224.06,25136.13,4.0,16.16,1,False,False,True,False
76.0,63594.82,17629.21,0.0,10.83,1,True,False,False,False
70.0,74878.67,10196.83,5.0,23.99,0,False,False,False,False
61.0,69379.01,10698.83,7.0,22.52,1,True,False,False,False
57.0,73199.24,19077.23,4.0,9.66,0,True,False,False,False
20.0,70993.73,19647.2,0.0,11.35,1,False,False,False,False
63.0,108164.34,26184.41,4.0,19.2,1,False,False,False,False
47.0,49221.47,18347.44,4.0,7.27,0,True,False,True,False
23.0,38850.76,23481.35,7.0,14.46,1,True,False,False,False
33.0,49760.81,27134.17,2.0,12.34,0,False,False,False,True
51.0,43305.82,16318.4,5.0,7.85,1,True,False,False,True
63.0,84939.24,3115.53,2.0,10.67,1,True,False,True,False
49.0,86407.56,5565.78,2.0,2.63,1,False,False,False,False
56.0,50773.69,3497.58,2.0,8.8,1,True,False,False,False
72.0,42191.28,27732.72,2.0,0.5,0,True,False,True,False
60.0,62904.07,8220.73,5.0,25.74,1,False,False,False,True
40.0,97822.48,24854.73,3.0,21.09,1,True,False,False,True
57.0,15000.0,19685.86,4.0,19.43,0,False,True,True,False
55.0,80532.54,28722.15,8.0,13.87,1,False,False,False,True
24.0,48484.9,23024.75,4.0,18.04,0,True,False,False,False
21.0,90807.34,14181.04,2.0,19.68,0,False,False,True,False
58.0,48441.52,13399.76,3.0,18.15,1,True,False,False,False
42.0,64291.68,15681.34,3.0,17.56,1,False,False,False,False
55.0,39874.42,16402.09,5.0,6.57,0,True,False,True,False
38.0,50454.84,10754.05,3.0,14.62,1,True,False,True,False
31.0,97716.78,14738.97,5.0,8.83,0,False,False,False,True
27.0,86411.57,27874.56,2.0,4.96,1,True,False,False,False
41.0,61966.64,1382.89,0.0,12.08,0,False,False,False,False
68.0,52596.55,17067.91,4.0,14.6,1,True,False,False,False
42.0,32123.86,7744.38,3.0,18.35,0,False,False,False,False
41.0,62126.87,16496.3,3.0,3.83,1,True,False,False,False
53.0,69381.93,21718.85,7.0,22.5,0,False,False,False,False
78.0,68318.91,14539.12,3.0,20.84,0,False,False,False,True
42.0,68124.16,21183.9,6.0,9.74,1,False,False,False,False
54.0,47563.81,2281.28,3.0,9.25,0,True,False,False,False
45.0,68674.52,23855.91,2.0,11.59,1,True,False,False,False
55.0,69226.53,10174.97,4.0,17.91,0,False,False,False,False
45.0,95811.24,19979.26,4.0,9.72,1,False,False,False,False
57.0,107334.67,16459.58,2.0,5.38,1,True,False,True,False
51.0,67260.22,0.0,1.0,14.08,1,False,False,False,False
59.0,54673.88,8951.49,7.0,0.5,0,False,False,False,False
77.0,68700.36,16764.07,3.0,12.86,0,False,False,True,False
27.0,57847.57,27431.81,3.0,18.96,1,True,False,False,False
52.0,55151.32,17298.15,4.0,13.84,0,True,False,False,True
45.0,68827.0,17061.57,5.0,16.69,1,False,False,False,False
40.0,49133.91,3698.53,3.0,14.97,1,False,False,False,False
32.0,82122.14,26449.17,8.0,16.37,0,True,False,False,True
21.0,67921.69,29456.62,2.0,12.87,1,True,False,False,False
42.0,75000.17,15228.6,3.0,7.03,0,True,False,False,False
69.0,66341.2,13241.94,1.0,10.65,0,False,False,False,False
23.0,55454.91,2047.6,0.0,11.56,1,False,False,True,False
43.0,51040.81,22066.57,5.0,19.55,0,True,False,False,False
78.0,65254.48,36618.23,2.0,21.76,0,False,False,False,False
76.0,59024.79,20736.9,4.0,14.52,1,False,False,True,False
31.0,74678.03,25109.63,2.0,7.48,1,False,False,True,False
18.0,69911.37,19336.7,4.0,7.62,1,True,False,False,False
59.0,42753.87,7119.87,2.0,10.87,0,True,False,True,False
18.0,71342.43,25693.38,2.0,20.33,1,True,False,False,True
36.0,43142.79,5123.4,0.0,14.01,0,False,False,True,False
48.0,57670.45,13314.68,3.0,11.67,1,True,False,False,False
72.0,64112.93,17230.81,2.0,7.41,1,True,False,True,False
23.0,28494.53,22063.28,4.0,17.29,0,True,False,True,False
