age,income,account_balance,visits_last_month,avg_session_minutes,gender,product_type,purchased
76.0,41122.73,22392.02,1.0,13.62,Female,Premium,0
56.0,85886.3,24389.82,3.0,12.54,Male,Basic,1
60.0,66175.29,24093.1,3.0,12.89,Male,Basic,1
73.0,74328.5,26118.14,4.0,22.87,Male,Plus,1
53.0,90034.21,13834.54,3.0,19.95,Female,Premium,1
66.0,35337.35,13606.94,2.0,7.81,Male,Premium,1
69.0,54317.4,21600.41,2.0,8.2,Male,Plus,0
31.0,73506.7,4067.81,3.0,22.41,Male,Basic,1
21.0,77841.9,16675.43,2.0,10.22,Female,Plus,1
36.0,62458.51,10755.53,3.0,20.39,Female,Plus,0
35.0,90583.58,12049.69,4.0,21.71,Other,Premium,1
72.0,74207.9,1067.88,2.0,8.87,Male,Premium,1
74.0,45732.36,7875.65,3.0,10.5,Male,Plus,0
18.0,51384.72,14836.05,2.0,12.62,Female,Premium,1
48.0,86109.42,22107.63,2.0,6.94,Female,Plus,0
68.0,79276.63,22920.21,6.0,6.25,Male,Premium,1
26.0,32018.78,14357.39,3.0,9.71,Female,Plus,0
67.0,96954.25,13485.69,0.0,17.24,Female,Basic,1
25.0,81960.54,8354.57,2.0,9.43,Female,Plus,0
47.0,96866.86,18218.85,3.0,10.88,Female,Plus,0
68.0,62325.98,13019.38,5.0,9.33,Male,Basic,0
36.0,64085.88,19847.08,1.0,3.93,Female,Basic,0
39.0,47470.86,29013.49,7.0,21.03,Male,Basic,0
35.0,120738.59,14741.0,3.0,0.5,Male,Plus,1
62.0,66490.92,3021.16,0.0,8.2,Male,Basic,1
33.0,101750.66,8113.2,1.0,15.47,Male,Basic,0
79.0,57054.15,3334.82,4.0,3.74,Female,Premium,1
45.0,73276.82,5423.12,4.0,15.75,Female,Premium,0
47.0,36572.95,25442.17,2.0,19.63,Male,Premium,0
49.0,62342.66,16813.28,3.0,6.96,Female,Premium,0
54.0,89675.1,2838.6,3.0,13.37,Female,Plus,1
52.0,44965.12,20229.06,6.0,5.46,Male,Plus,1
49.0,91444.55,25083.0,6.0,15.16,Female,Plus,1
79.0,76744.76,12121.0,3.0,12.65,Male,Plus,1
68.0,49120.98,9592.07,4.0,13.41,Female,Basic,0
67.0,,12300.98,4.0,20.31,Female,Basic,0
61.0,60818.69,17276.85,2.0,14.94,Female,Plus,0
56.0,69009.61,20119.76,6.0,20.19,Female,Plus,0
39.0,59277.12,24457.73,6.0,15.92,Female,Premium,1
79.0,53454.24,24699.83,4.0,4.92,Female,Basic,0
46.0,63908.25,24483.23,1.0,13.68,Male,Basic,0
31.0,49462.21,25895.37,2.0,15.05,Male,Basic,0
70.0,44209.47,20291.1,1.0,3.44,Female,Basic,0
27.0,69036.47,2752.75,1.0,20.12,Female,Basic,1
71.0,,13952.29,2.0,12.52,Female,Plus,1
55.0,39412.57,17511.36,4.0,14.32,Female,Premium,1
